state,state code,animal products,beef,pork,hides,other livestock,dairy,broilers,other poultry,plant products,veggies fresh
Alabama,AL,554.2806281,47.16089752,8.777221612,4.083623316,84.43953443,1.280301564,340.2845254,68.25452432,821.8236941,0
Alaska,AK,2.883828523,0.530177961,0.127905622,0.046629193,2.14143176,0.037683988,0,0,14.2431163,0
Arizona,AZ,256.3125926,81.47984117,14.26871674,7.033165486,22.64109167,125.573542,0,5.31623552,1058.220533,155.4658897
Arkansas,AR,651.8753332,51.59894349,17.08465151,4.652564993,51.53475435,1.764628261,378.5582332,146.6815574,2909.749835,0
California,CA,2078.763165,331.4177666,7.260454006,27.35400306,339.1030099,1187.222273,99.3016959,87.10396283,20253.33344,1137.101964
Colorado,CO,827.2345393,462.4839574,45.84933868,39.05329443,120.744455,141.8473006,0,17.25619317,938.6616018,39.44166712
Connecticut,CT,41.99813605,1.789698702,0.228460355,0.152386228,21.82886601,12.42140563,0,5.577319127,217.0477487,0
Delaware,DE,109.5570121,0.786368088,2.178417755,0.118245757,1.802201011,1.889764541,99.3755166,3.40649833,170.5146927,0
Florida,FL,310.8734046,57.76070348,0.806448966,4.756028789,129.9163386,77.35425588,20.15432344,20.12530549,2926.628094,177.5915139
Georgia,GA,690.8634953,39.83175322,10.55382265,3.526515149,69.85020207,55.5357039,416.4351723,95.13032597,2323.478923,60.27638162
Hawaii,HI,67.3401941,4.877298236,0.54018003,0.413249611,59.60760261,0.135153543,0,1.766710064,228.0068592,0
Idaho,ID,754.4274661,191.6655681,8.161022203,15.91716347,53.66594291,473.725571,0,11.29219843,1561.296254,160.3332886
Illinois,IL,744.5612863,78.81635979,548.6547834,20.00432096,27.08182101,50.5195994,0.292318709,19.19208304,8065.337046,5.878013032
Indiana,IN,930.8943725,40.55165232,415.439872,13.57881417,155.2266882,118.9669188,15.46847288,171.6619542,4292.811156,2.44338538
Iowa,IA,3531.180893,458.35271,2565.780734,100.9107065,50.62973733,166.0671335,7.579255301,181.8606157,7893.561282,0
Kansas,KS,1425.121396,1007.301198,177.7658874,86.98184077,32.62761108,109.1666969,0,11.27816168,4233.86002,0
Kentucky,KY,825.2612991,88.08823885,51.67226221,8.498207679,524.52485,27.6821487,100.1276974,24.66789428,1537.254774,0
Louisiana,LA,259.8732576,22.35392036,0.388543492,1.842513304,168.5814135,3.874295567,53.90859486,8.923976562,1462.744439,0
Maine,ME,84.24315791,2.630186349,0.290402071,0.222831354,52.49279501,18.1687703,0,10.43817283,189.6205034,25.82534813
Maryland,MD,199.2704307,7.745150568,2.549263614,0.697988491,59.75221252,23.93171738,96.21223578,8.381862384,527.7874115,0
Massachussetts,MA,36.29718877,0.507779486,0.673716717,0.058264155,27.09567946,5.703161511,0,2.258587442,184.2167092,0
Michigan,MI,620.5138175,60.61584316,140.7541032,8.444281816,45.53223798,303.6629807,3.057842837,58.44652782,2433.514471,82.8731887
Minnesota,MN,1778.515533,215.2194414,906.7820771,40.02796072,140.1245932,321.1324506,18.46449264,136.7645175,5437.971106,70.04172736
Mississippi,MS,481.2121497,21.88113093,29.78390996,2.529273859,152.2730308,3.95872678,237.6531345,33.1329429,1746.998423,18.11118247
Missouri,MO,786.8553099,217.6390821,276.3867527,24.667141,63.69102496,30.28329789,76.74827004,97.43974124,3716.100261,0
Montana,MT,256.0263264,154.9380014,24.10980744,13.29930705,49.22581611,7.334544279,0,7.118850121,1257.741231,35.55150315
Nebraska,NE,1677.225752,1167.789542,304.0646443,103.2584471,34.0315323,42.04801631,2.339678862,23.69389138,5464.063763,28.86225696
Nevada,NV,76.97635614,36.30175353,0.205131657,2.981647517,13.41256921,22.3265703,0,1.748683918,64.520527,0
New Hampshire,NH,19.14628362,0.970035584,0.281955474,0.086497799,4.984221586,6.640014071,0,6.183559103,51.63828905,0
New Jersey,NJ,36.00244905,1.247897749,0.226449261,0.10791129,23.79435571,2.625476828,0,8.000358212,591.6898075,13.69246523
New Mexico,NM,366.2050708,116.7420633,0.195076184,9.577151813,22.84053284,209.8813681,0,6.968878497,362.2396961,20.73129866
New York,NY,564.5937066,35.17202288,2.452731069,2.944489103,73.59318859,429.8674512,0.581249852,19.98257387,1011.014711,24.52087807
North Carolina,NC,1513.350286,27.71672068,769.5172231,21.26563219,68.38482164,26.57468467,406.1105772,193.7806263,2156.568389,64.82623134
North Dakota,ND,204.2194273,108.659967,18.83711941,9.37457244,54.31005955,10.22031093,0,2.817397968,4111.281949,92.13710175
Ohio,OH,758.9129882,71.7711313,280.9133246,12.81833244,90.729463,162.5110053,28.42831205,111.7414195,3336.966025,1.48939665
Oklahoma,OK,911.6811523,349.8742312,369.7964694,37.81535239,39.55623342,21.93303499,76.98525851,15.72057238,955.0825955,0
